"original_artist","parent_artist","related_artist"
"Aesop Rock","Sage Francis","Eyedea & Abilities"
"Aesop Rock","Sage Francis","Non Prophets"
"Aesop Rock","Sage Francis","Aesop Rock"
"Aesop Rock","Sage Francis","Buck 65"
"Aesop Rock","Sage Francis","B. Dolan"
"Aesop Rock","Sage Francis","BUSDRIVER"
"Aesop Rock","Sage Francis","Cecil Otter"
"Aesop Rock","Sage Francis","Astronautalis"
"Aesop Rock","Sage Francis","Eyedea"
"Aesop Rock","Sage Francis","Sole"
"Aesop Rock","Sage Francis","Hail Mary Mallon"
"Aesop Rock","Sage Francis","Deep Puddle Dynamics"
"Aesop Rock","Sage Francis","Sims"
"Aesop Rock","Sage Francis","Epic Beard Men"
"Aesop Rock","Sage Francis","Doomtree"
"Aesop Rock","Sage Francis","Blueprint"
"Aesop Rock","Sage Francis","Brother Ali"
"Aesop Rock","Sage Francis","Rob Sonic"
"Aesop Rock","Sage Francis","The Dynospectrum"
"Aesop Rock","Sage Francis","Heiruspecs"
"Aesop Rock","BUSDRIVER","Aesop Rock"
"Aesop Rock","BUSDRIVER","Sage Francis"
"Aesop Rock","BUSDRIVER","Rob Sonic"
"Aesop Rock","BUSDRIVER","El-P"
"Aesop Rock","BUSDRIVER","Buck 65"
"Aesop Rock","BUSDRIVER","MC Paul Barman"
"Aesop Rock","BUSDRIVER","Hail Mary Mallon"
"Aesop Rock","BUSDRIVER","Eyedea & Abilities"
"Aesop Rock","BUSDRIVER","Astronautalis"
"Aesop Rock","BUSDRIVER","Non Prophets"
"Aesop Rock","BUSDRIVER","Themselves"
"Aesop Rock","BUSDRIVER","Sole"
"Aesop Rock","BUSDRIVER","Soul Position"
"Aesop Rock","BUSDRIVER","Cannibal Ox"
"Aesop Rock","BUSDRIVER","Mr. Lif"
"Aesop Rock","BUSDRIVER","Dark Time Sunshine"
"Aesop Rock","BUSDRIVER","Deep Puddle Dynamics"
"Aesop Rock","BUSDRIVER","Blackalicious"
"Aesop Rock","BUSDRIVER","Typical Cats"
"Aesop Rock","BUSDRIVER","Aceyalone"
"Aesop Rock","El-P","Run The Jewels"
"Aesop Rock","El-P","Cannibal Ox"
"Aesop Rock","El-P","Killer Mike"
"Aesop Rock","El-P","Aesop Rock"
"Aesop Rock","El-P","Mr. Lif"
"Aesop Rock","El-P","BUSDRIVER"
"Aesop Rock","El-P","Hail Mary Mallon"
"Aesop Rock","El-P","Rob Sonic"
"Aesop Rock","El-P","Camu Tao"
"Aesop Rock","El-P","The Weathermen"
"Aesop Rock","El-P","Sage Francis"
"Aesop Rock","El-P","Edan"
"Aesop Rock","El-P","Cage"
"Aesop Rock","El-P","Eyedea & Abilities"
"Aesop Rock","El-P","Vast Aire"
"Aesop Rock","El-P","Dr. Octagon"
"Aesop Rock","El-P","Sole"
"Aesop Rock","El-P","Deltron 3030"
"Aesop Rock","El-P","Leak Bros"
"Aesop Rock","El-P","Blueprint"
"Aesop Rock","Eyedea & Abilities","Eyedea"
"Aesop Rock","Eyedea & Abilities","Cecil Otter"
"Aesop Rock","Eyedea & Abilities","Sage Francis"
"Aesop Rock","Eyedea & Abilities","The Dynospectrum"
"Aesop Rock","Eyedea & Abilities","Hail Mary Mallon"
"Aesop Rock","Eyedea & Abilities","Sims"
"Aesop Rock","Eyedea & Abilities","Blueprint"
"Aesop Rock","Eyedea & Abilities","Dem Atlas"
"Aesop Rock","Eyedea & Abilities","Heiruspecs"
"Aesop Rock","Eyedea & Abilities","Non Prophets"
"Aesop Rock","Eyedea & Abilities","Doomtree"
"Aesop Rock","Eyedea & Abilities","Face Candy"
"Aesop Rock","Eyedea & Abilities","Brother Ali"
"Aesop Rock","Eyedea & Abilities","Mac Lethal"
"Aesop Rock","Eyedea & Abilities","Dessa"
"Aesop Rock","Eyedea & Abilities","Illogic"
"Aesop Rock","Eyedea & Abilities","Grieves"
"Aesop Rock","Eyedea & Abilities","Aesop Rock"
"Aesop Rock","Eyedea & Abilities","Atmosphere"
"Aesop Rock","Eyedea & Abilities","Astronautalis"
"Aesop Rock","Hail Mary Mallon","Eyedea & Abilities"
"Aesop Rock","Hail Mary Mallon","Cecil Otter"
"Aesop Rock","Hail Mary Mallon","Sims"
"Aesop Rock","Hail Mary Mallon","Blueprint"
"Aesop Rock","Hail Mary Mallon","Aesop Rock"
