"from","to"
"Aesop Rock","Sage Francis"
"Aesop Rock","BUSDRIVER"
"Aesop Rock","El-P"
"Aesop Rock","Eyedea & Abilities"
"Aesop Rock","Hail Mary Mallon"
"Aesop Rock","Cannibal Ox"
"Aesop Rock","Brother Ali"
"Aesop Rock","Rob Sonic"
"Aesop Rock","Deltron 3030"
"Aesop Rock","Del The Funky Homosapien"
"Aesop Rock","Murs"
"Aesop Rock","Cage"
"Aesop Rock","Mr. Lif"
"Aesop Rock","Atmosphere"
"Aesop Rock","Soul Position"
"Aesop Rock","Blackalicious"
"Aesop Rock","Hieroglyphics"
"Aesop Rock","Blueprint"
"Aesop Rock","Astronautalis"
"Aesop Rock","Handsome Boy Modeling School"
"Dessiderium","Aethereus"
"Dessiderium","Warforged"
"Dessiderium","Aronious"
"Dessiderium","Greylotus"
"Dessiderium","Burial In The Sky"
"Dessiderium","Arkaik"
"Dessiderium","Flub"
"Dessiderium","Stortregn"
"Dessiderium","Inanimate Existence"
"Dessiderium","Tómarúm"
"Dessiderium","The Devils of Loudun"
"Dessiderium","Singularity"
"Dessiderium","Iapetus"
"Dessiderium","Alustrium"
"Dessiderium","Exocrine"
"Dessiderium","Apogean"
"Dessiderium","Symbolik"
"Dessiderium","Equipoise"
"Dessiderium","Demon King"
"Dessiderium","Deviant Process"
