"id","image","label","shape","color"
"Allie X","https://i.scdn.co/image/ab6761610000e5eb965e34fe550900ddf381e31a","Allie X","circularImage","white"
"Magdalena Bay","https://i.scdn.co/image/ab6761610000e5eb8ff9b5cfbd104bc6a370b1e2","Magdalena Bay","circularImage","white"
"Poppy","https://i.scdn.co/image/ab6761610000e5ebd33e7df4109493e64b4e3e04","Poppy","circularImage","white"
"Sky Ferreira","https://i.scdn.co/image/ab6761610000e5ebc9eceb126fe58104c719d25a","Sky Ferreira","circularImage","white"
"Cruel Youth","https://i.scdn.co/image/ab6761610000e5eb47c9782b75178b8a02d5e1d9","Cruel Youth","circularImage","white"
"Charli XCX","https://i.scdn.co/image/ab6761610000e5eb576cb43281160e345f728b71","Charli XCX","circularImage","white"
"Rina Sawayama","https://i.scdn.co/image/ab6761610000e5ebd6442ba68c144b0c84b207a4","Rina Sawayama","circularImage","white"
"LIZ","https://i.scdn.co/image/ab6761610000e5ebe1a231e66681d64fb7324e3b","LIZ","circularImage","white"
"Ängie","https://i.scdn.co/image/ab6761610000e5eb5140f906f0ed9b9cd67ea517","Ängie","circularImage","white"
"HANA","https://i.scdn.co/image/ab6761610000e5eb915214eee25b70c1b7fa0007","HANA","circularImage","white"
"Kerli","https://i.scdn.co/image/ab6761610000e5eb508a5ac902dc3814b6079682","Kerli","circularImage","white"
"MØ","https://i.scdn.co/image/ab6761610000e5eb903bbd69a4413930bb99d063","MØ","circularImage","white"
"Slayyyter","https://i.scdn.co/image/ab6761610000e5ebd01fb7eccf3f995adbf7d40d","Slayyyter","circularImage","white"
"girli","https://i.scdn.co/image/ab6761610000e5eb52e18a50b03431f85391ca47","girli","circularImage","white"
"Natalia Kills","https://i.scdn.co/image/36e2d1e085dd9e38f588d78e5981d5898872b6c1","Natalia Kills","circularImage","white"
"Ralph","https://i.scdn.co/image/ab6761610000e5ebfa5d4860fd6accd6c19847d3","Ralph","circularImage","white"
"Shura","https://i.scdn.co/image/ab6761610000e5eb9fd7a1ac354beef3950ca590","Shura","circularImage","white"
"ionnalee","https://i.scdn.co/image/ab6761610000e5eb53c7a466277248c9814fafcf","ionnalee","circularImage","white"
"VÉRITÉ","https://i.scdn.co/image/ab6761610000e5eb1e9c5c07c1244a637929678c","VÉRITÉ","circularImage","white"
"Brooke Candy","https://i.scdn.co/image/ab6761610000e5ebe033815dfdf0ad170357927f","Brooke Candy","circularImage","white"
"Foxes","https://i.scdn.co/image/ab6761610000e5ebadb663c00fcc431448abfcb4","Foxes","circularImage","white"
"SOPHIE","https://i.scdn.co/image/ab6761610000e5eb0a5f93747d4d50f1ea5ab6f0","SOPHIE","circularImage","white"
"Kilo Kish","https://i.scdn.co/image/ab6761610000e5eb1729c225a3ce0f1ba11a86a2","Kilo Kish","circularImage","white"
"Kero Kero Bonito","https://i.scdn.co/image/ab6761610000e5eb67dfd3f1682fd91c7052a05a","Kero Kero Bonito","circularImage","white"
"Cryalot","https://i.scdn.co/image/ab6761610000e5eb6acf48b09ef0bff309497b1c","Cryalot","circularImage","white"
"Namasenda","https://i.scdn.co/image/ab6761610000e5ebc916d35206c8d1cb86ade246","Namasenda","circularImage","white"
"Tei Shi","https://i.scdn.co/image/ab6761610000e5eb1f98c9bf3b36ec0b72f1e344","Tei Shi","circularImage","white"
"Planet 1999","https://i.scdn.co/image/ab6761610000e5eb4dcf0a24f53d4b81bab3c8fd","Planet 1999","circularImage","white"
"Pearly Drops","https://i.scdn.co/image/ab6761610000e5eb86e820754b1f74a200a109a2","Pearly Drops","circularImage","white"
"Empress Of","https://i.scdn.co/image/ab6761610000e5ebf9cd07d198836bc33dab1b04","Empress Of","circularImage","white"
"yeule","https://i.scdn.co/image/ab6761610000e5ebf3582b14cc6b4f608f9a560f","yeule","circularImage","white"
"Hatchie","https://i.scdn.co/image/ab6761610000e5eb18ddb08f29289df123e45f2b","Hatchie","circularImage","white"
"death's dynamic shroud","https://i.scdn.co/image/ab6761610000e5ebd9e58a36c76fc385398165ce","death's dynamic shroud","circularImage","white"
"A. G. Cook","https://i.scdn.co/image/ab6761610000e5eb9df0f924a5e609c8da143cd5","A. G. Cook","circularImage","white"
"Hyd","https://i.scdn.co/image/ab6761610000e5ebdd478cc2b1b2a03721167663","Hyd","circularImage","white"
"Spellling","https://i.scdn.co/image/ab6761610000e5eb0399be11a1af0502ee301f76","Spellling","circularImage","white"
"Rebecca Black","https://i.scdn.co/image/ab6761610000e5ebbf844e5b817300d60d61986d","Rebecca Black","circularImage","white"
