"from","to"
"Allie X","Poppy"
"Allie X","Sky Ferreira"
"Allie X","Cruel Youth"
"Allie X","Charli XCX"
"Allie X","Rina Sawayama"
"Allie X","LIZ"
"Allie X","Ängie"
"Allie X","HANA"
"Allie X","Kerli"
"Allie X","MØ"
"Allie X","Slayyyter"
"Allie X","Magdalena Bay"
"Allie X","girli"
"Allie X","Natalia Kills"
"Allie X","Ralph"
"Allie X","Shura"
"Allie X","ionnalee"
"Allie X","VÉRITÉ"
"Allie X","Brooke Candy"
"Allie X","Foxes"
"Magdalena Bay","Allie X"
"Magdalena Bay","Rina Sawayama"
"Magdalena Bay","SOPHIE"
"Magdalena Bay","LIZ"
"Magdalena Bay","Sky Ferreira"
"Magdalena Bay","Kilo Kish"
"Magdalena Bay","Kero Kero Bonito"
"Magdalena Bay","Cryalot"
"Magdalena Bay","Namasenda"
"Magdalena Bay","Tei Shi"
"Magdalena Bay","Planet 1999"
"Magdalena Bay","Pearly Drops"
"Magdalena Bay","Empress Of"
"Magdalena Bay","yeule"
"Magdalena Bay","Hatchie"
"Magdalena Bay","death's dynamic shroud"
"Magdalena Bay","A. G. Cook"
"Magdalena Bay","Hyd"
"Magdalena Bay","Spellling"
"Magdalena Bay","Rebecca Black"
