"","original_artist","parent_artist","related_artist"
"1","Allie X","Poppy","Allie X"
"2","Allie X","Poppy","Sky Ferreira"
"3","Allie X","Poppy","girli"
"4","Allie X","Poppy","Ängie"
"5","Allie X","Poppy","Rina Sawayama"
"6","Allie X","Poppy","Kero Kero Bonito"
"7","Allie X","Poppy","Nicole Dollanganger"
"8","Allie X","Poppy","Slayyyter"
"9","Allie X","Poppy","Charli XCX"
"10","Allie X","Poppy","Kailee Morgue"
"11","Allie X","Poppy","SOPHIE"
"12","Allie X","Poppy","HANA"
"13","Allie X","Poppy","Magdalena Bay"
"14","Allie X","Poppy","Lola Blanc"
"15","Allie X","Poppy","Alice Glass"
"16","Allie X","Poppy","Jazmin Bean"
"17","Allie X","Poppy","That Poppy"
"18","Allie X","Poppy","Zheani"
"19","Allie X","Poppy","LIZ"
"20","Allie X","Poppy","Dorian Electra"
"21","Allie X","Sky Ferreira","Allie X"
"22","Allie X","Sky Ferreira","Charli XCX"
"23","Allie X","Sky Ferreira","Poppy"
"24","Allie X","Sky Ferreira","Lykke Li"
"25","Allie X","Sky Ferreira","Cruel Youth"
"26","Allie X","Sky Ferreira","Nicole Dollanganger"
"27","Allie X","Sky Ferreira","Shura"
"28","Allie X","Sky Ferreira","Rina Sawayama"
"29","Allie X","Sky Ferreira","Chairlift"
"30","Allie X","Sky Ferreira","Tei Shi"
"31","Allie X","Sky Ferreira","St. Vincent"
"32","Allie X","Sky Ferreira","iamamiwhoami"
"33","Allie X","Sky Ferreira","Empress Of"
"34","Allie X","Sky Ferreira","SOPHIE"
"35","Allie X","Sky Ferreira","Hannah Diamond"
"36","Allie X","Sky Ferreira","ionnalee"
"37","Allie X","Sky Ferreira","FKA twigs"
"38","Allie X","Sky Ferreira","Magdalena Bay"
"39","Allie X","Sky Ferreira","A. G. Cook"
"40","Allie X","Sky Ferreira","Caroline Polachek"
"41","Allie X","Cruel Youth","Natalia Kills"
"42","Allie X","Cruel Youth","Chløë Black"
"43","Allie X","Cruel Youth","Sky Ferreira"
"44","Allie X","Cruel Youth","Allie X"
"45","Allie X","Cruel Youth","Kerli"
"46","Allie X","Cruel Youth","Ängie"
"47","Allie X","Cruel Youth","Poppy"
"48","Allie X","Cruel Youth","Kailee Morgue"
"49","Allie X","Cruel Youth","Sizzy Rocket"
"50","Allie X","Cruel Youth","HANA"
"51","Allie X","Cruel Youth","Slayyyter"
"52","Allie X","Cruel Youth","Transviolet"
"53","Allie X","Cruel Youth","Nicole Dollanganger"
"54","Allie X","Cruel Youth","BLAISE MOORE"
"55","Allie X","Cruel Youth","Jaira Burns"
"56","Allie X","Cruel Youth","Maty Noyes"
"57","Allie X","Cruel Youth","XYLØ"
"58","Allie X","Cruel Youth","Neon Hitch"
"59","Allie X","Cruel Youth","Rebecca Black"
"60","Allie X","Cruel Youth","Zella Day"
"61","Allie X","Charli XCX","SOPHIE"
"62","Allie X","Charli XCX","Kero Kero Bonito"
"63","Allie X","Charli XCX","Sky Ferreira"
"64","Allie X","Charli XCX","Danny L Harle"
"65","Allie X","Charli XCX","Hannah Diamond"
"66","Allie X","Charli XCX","A. G. Cook"
"67","Allie X","Charli XCX","Namasenda"
"68","Allie X","Charli XCX","Allie X"
"69","Allie X","Charli XCX","Rina Sawayama"
"70","Allie X","Charli XCX","Planet 1999"
"71","Allie X","Charli XCX","GFOTY"
"72","Allie X","Charli XCX","Poppy"
"73","Allie X","Charli XCX","LIZ"
"74","Allie X","Charli XCX","Tove Lo"
"75","Allie X","Charli XCX","Magdalena Bay"
"76","Allie X","Charli XCX","Caroline Polachek"
"77","Allie X","Charli XCX","MØ"
"78","Allie X","Charli XCX","Slayyyter"
"79","Allie X","Charli XCX","Kim Petras"
"80","Allie X","Charli XCX","Empress Of"
"81","Allie X","Rina Sawayama","Allie X"
"82","Allie X","Rina Sawayama","Charli XCX"
"83","Allie X","Rina Sawayama","SOPHIE"
"84","Allie X","Rina Sawayama","Poppy"
"85","Allie X","Rina Sawayama","Sky Ferreira"
"86","Allie X","Rina Sawayama","Slayyyter"
"87","Allie X","Rina Sawayama","Magdalena Bay"
"88","Allie X","Rina Sawayama","Kero Kero Bonito"
"89","Allie X","Rina Sawayama","Tinashe"
"90","Allie X","Rina Sawayama","Chloe x Halle"
"91","Allie X","Rina Sawayama","Tei Shi"
"92","Allie X","Rina Sawayama","Kilo Kish"
"93","Allie X","Rina Sawayama","Janelle Monáe"
"94","Allie X","Rina Sawayama","Caroline Polachek"
"95","Allie X","Rina Sawayama","Empress Of"
"96","Allie X","Rina Sawayama","FKA twigs"
"97","Allie X","Rina Sawayama","A. G. Cook"
"98","Allie X","Rina Sawayama","Bree Runway"
"99","Allie X","Rina Sawayama","Rebecca Black"
"100","Allie X","Rina Sawayama","Shygirl"
"101","Allie X","HANA","ionnalee"
"102","Allie X","HANA","Allie X"
"103","Allie X","HANA","Tei Shi"
"104","Allie X","HANA","Kacy Hill"
"105","Allie X","HANA","LIZ"
"106","Allie X","HANA","Ängie"
"107","Allie X","HANA","So Below"
"108","Allie X","HANA","Poppy"
"109","Allie X","HANA","Slayyyter"
"110","Allie X","HANA","Transviolet"
"111","Allie X","HANA","Luna Shadows"
"112","Allie X","HANA","machineheart"
"113","Allie X","HANA","Sky Ferreira"
"114","Allie X","HANA","iamamiwhoami"
"115","Allie X","HANA","Cruel Youth"
"116","Allie X","HANA","Alice Glass"
"117","Allie X","HANA","Nicole Dollanganger"
"118","Allie X","HANA","Evalyn"
"119","Allie X","HANA","Chelsea Jade"
"120","Allie X","HANA","Kilo Kish"
"121","Allie X","Ängie","Sizzy Rocket"
"122","Allie X","Ängie","Lola Blanc"
"123","Allie X","Ängie","Kailee Morgue"
"124","Allie X","Ängie","Chløë Black"
"125","Allie X","Ängie","Jaira Burns"
"126","Allie X","Ängie","Cruel Youth"
"127","Allie X","Ängie","Poppy"
"128","Allie X","Ängie","girli"
"129","Allie X","Ängie","Allie X"
"130","Allie X","Ängie","Bahari"
"131","Allie X","Ängie","XYLØ"
"132","Allie X","Ängie","bülow"
"133","Allie X","Ängie","Evalyn"
"134","Allie X","Ängie","Maty Noyes"
"135","Allie X","Ängie","Zolita"
"136","Allie X","Ängie","Transviolet"
"137","Allie X","Ängie","HANA"
"138","Allie X","Ängie","Suzi Wu"
"139","Allie X","Ängie","Au/Ra"
"140","Allie X","Ängie","Caitlyn Scarlett"
"141","Allie X","Kerli","Natalia Kills"
"142","Allie X","Kerli","Cruel Youth"
"143","Allie X","Kerli","Neon Hitch"
"144","Allie X","Kerli","Porcelain Black"
"145","Allie X","Kerli","Allie X"
"146","Allie X","Kerli","Ängie"
"147","Allie X","Kerli","Lola Blanc"
"148","Allie X","Kerli","Ivy Levan"
"149","Allie X","Kerli","Brooke Candy"
"150","Allie X","Kerli","Jeffree Star"
"151","Allie X","Kerli","Colette Carr"
"152","Allie X","Kerli","Roniit"
"153","Allie X","Kerli","machineheart"
"154","Allie X","Kerli","MXMS"
"155","Allie X","Kerli","Nicola Roberts"
"156","Allie X","Kerli","So Below"
"157","Allie X","Kerli","Rebecca Black"
"158","Allie X","Kerli","HANA"
"159","Allie X","Kerli","Digital Daggers"
"160","Allie X","Kerli","Echos"
"161","Allie X","LIZ","Hannah Diamond"
"162","Allie X","LIZ","GFOTY"
"163","Allie X","LIZ","A. G. Cook"
